Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,4301963.0,0.21,,ART,0.2068750862636135
Diversified_Balanced_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,,4165854.0,0.2,,ART,0.2003298042339321
Diversified_Balanced_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,,3131088.0,0.15,,ART,0.15056942611988178
Diversified_Balanced_Index_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,,2317501.0,0.11,,ART,0.11144522147006157
Diversified_Balanced_Index_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,,1359455.0,0.07,,ART,0.06537419554666107
Diversified_Balanced_Index_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,,1030626.0,0.05,,ART,0.04956129159072798
Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,,1004620.0,0.05,,ART,0.04831070122224468
Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,,964700.0,0.05,,ART,0.04639100701668237
Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,,476697.0,0.02,,ART,0.022923659035794998
Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,,416050.0,0.02,,ART,0.020007233823251477
Diversified_Balanced_Index_Superannuation,Cash,BNP PARIBAS,AUD,,362304.0,0.02,,ART,0.017422667571444065
Diversified_Balanced_Index_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,356083.0,0.02,,ART,0.01712350881260631
Diversified_Balanced_Index_Superannuation,Cash,BARCLAYS BANK PLC,AUD,,348973.0,0.02,,ART,0.016781599348639677
