Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Index Diversified,Equity,Sompo,,B62G7K6,410907.0,0.01,Listed,,AustralianSuper,0.006940056595644969
Index Diversified,Equity,Sonic Healthcare,,6821120,5828709.0,0.15,Listed,,AustralianSuper,0.09844458804436329
Index Diversified,Equity,Sonova Ag,,7156036,241495.0,0.01,Listed,,AustralianSuper,0.004078754967827956
Index Diversified,Equity,Sony,,6821506,2827528.0,0.07,Listed,,AustralianSuper,0.04775582880255344
Index Diversified,Equity,South32,,BWSW5D9,5941767.0,0.16,Listed,,AustralianSuper,0.10035409291673206
Index Diversified,Equity,Southern,,2829601,1823148.0,0.05,Listed,,AustralianSuper,0.03079224812971532
Index Diversified,Equity,Southern Copper,,2823777,367155.0,0.01,Listed,,AustralianSuper,0.006201102632405943
Index Diversified,Equity,Spartan Resources /Australia,,BS2L471,829809.0,0.02,Listed,,AustralianSuper,0.014015145576920218
Index Diversified,Equity,Spirax-Sarco Engineering,,BWFGQN1,77592.0,0.0,Listed,,AustralianSuper,0.0013104981695840773
Index Diversified,Equity,Spotify Technology Sa,,BFZ1K46,1980851.0,0.05,Listed,,AustralianSuper,0.03345578938187944
Index Diversified,Equity,Srf,,6374947,211689.0,0.01,Listed,,AustralianSuper,0.0035753434248515788
Index Diversified,Equity,Ss&C Technologies,,B58YSC6,347512.0,0.01,Listed,,AustralianSuper,0.005869340136979351
Index Diversified,Equity,Sse,,0790873,379453.0,0.01,Listed,,AustralianSuper,0.006408810984936422
Index Diversified,Equity,Standard Bank,,B030GJ7,273635.0,0.01,Listed,,AustralianSuper,0.004621586847022103
Index Diversified,Equity,Standard Chartered,,408284,575972.0,0.02,Listed,,AustralianSuper,0.009727939113976701
Index Diversified,Equity,Stantec,,2854238,256958.0,0.01,Listed,,AustralianSuper,0.004339918917671735
Index Diversified,Equity,Starbucks,,2842255,1817404.0,0.05,Listed,,AustralianSuper,0.03069523424315368
Index Diversified,Equity,State Bank Of India,,BSQCB24,230100.0,0.01,Listed,,AustralianSuper,0.003886297927895868
Index Diversified,Equity,Steadfast,,BCT5FD7,3011340.0,0.08,Listed,,AustralianSuper,0.050860340730942824
Index Diversified,Equity,Steel Dynamics,,2849472,261608.0,0.01,Listed,,AustralianSuper,0.004418455577231561
Index Diversified,Equity,Stellantis Nv,,BMD8KX7,261625.0,0.01,Listed,,AustralianSuper,0.00441874270050307
Index Diversified,Equity,Steris,,BFY8C75,483174.0,0.01,Listed,,AustralianSuper,0.008160617622829892
Index Diversified,Equity,Stmicroelectronics Nv,,5962332,305810.0,0.01,Listed,,AustralianSuper,0.005165009862363474
Index Diversified,Property,Stockland Corporation Ltd,,6850856,5825533.0,0.15,Listed,,AustralianSuper,0.09839094666140374
Index Diversified,Equity,Stora Enso Oyj,,5072673,95872.0,0.0,Listed,,AustralianSuper,0.0016192401344773256
Index Diversified,Equity,Strategy,,2974329,1739167.0,0.05,Listed,,AustralianSuper,0.029373842278856466
