Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
High Growth,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,652822.0,0.0,,,AustralianSuper,0.0015049725618480113
High Growth,Cash,JPMorgan Chase Bank NA,Malaysia Ringgit,,49517.0,0.0,,,AustralianSuper,0.00011415320921327404
High Growth,Cash,JPMorgan Chase Bank NA,Mexico Peso,,-1363.0,0.0,,,AustralianSuper,-3.142169843845396e-06
High Growth,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,45681.0,0.0,,,AustralianSuper,0.00010530994910983241
High Growth,Cash,JPMorgan Chase Bank NA,Norway Krone,,14950.0,0.0,,,AustralianSuper,3.446473893286036e-05
High Growth,Cash,JPMorgan Chase Bank NA,Philippines Peso,,33246.0,0.0,,,AustralianSuper,7.664312445229937e-05
High Growth,Cash,JPMorgan Chase Bank NA,Poland Zloty,,-103429.0,0.0,,,AustralianSuper,-0.00023843836007269662
High Growth,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,1363306.0,0.0,,,AustralianSuper,0.0031428752759600086
High Growth,Cash,JPMorgan Chase Bank NA,South Africa Rand,,-511985.0,0.0,,,AustralianSuper,-0.0011802962784308035
High Growth,Cash,JPMorgan Chase Bank NA,Sweden Krona,,14624.0,0.0,,,AustralianSuper,3.37132001440903e-05
High Growth,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,16842432.0,0.04,,,AustralianSuper,0.03882742621233801
High Growth,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,-643291.0,0.0,,,AustralianSuper,-0.0014830004262781724
High Growth,Cash,JPMorgan Chase Bank NA,Turkey Lira,,-14051.0,0.0,,,AustralianSuper,-3.239224392947298e-05
High Growth,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,-9022004.0,-0.02,,,AustralianSuper,-0.020798729933861
High Growth,Cash,JPMorgan Chase Bank NA,United States Dollar,,138460041.0,0.33,,,AustralianSuper,0.31919659971225034
High Growth,Cash,Mitsubishi UFJ Trust & Banking Corp/London,Euro Member Countries,,618184.0,0.0,,,AustralianSuper,0.001425120412874338
High Growth,Cash,Morgan Stanley & Co International PLC,Australia Dollar,,-1977542.0,0.0,,,AustralianSuper,-0.004558894231355622
High Growth,Cash,MUFG Bank Ltd/London,Euro Member Countries,,2009326.0,0.0,,,AustralianSuper,0.004632166957926996
High Growth,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,693209.0,0.0,,,AustralianSuper,0.001598078074308308
