Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Indonesia Rupiah,,8980.0,0.0,,,AustralianSuper,8.222215389176676e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Israel Shekel,,11331.0,0.0,,,AustralianSuper,0.00010374824340173821
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Japan Yen,,370837.0,0.01,,,AustralianSuper,0.003395436178481193
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,69985.0,0.0,,,AustralianSuper,0.0006407925879861132
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Malaysia Ringgit,,5307.0,0.0,,,AustralianSuper,4.859164484449958e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Mexico Peso,,-685.0,0.0,,,AustralianSuper,-6.271957173258378e-06
Conservative Balanced,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,57265.0,0.0,,,AustralianSuper,0.0005243264635425416
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Norway Krone,,7441.0,0.0,,,AustralianSuper,6.813085157111764e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Philippines Peso,,3563.0,0.0,,,AustralianSuper,3.262333344280233e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Poland Zloty,,-4593.0,0.0,,,AustralianSuper,-4.2054159557336826e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,178925.0,0.0,,,AustralianSuper,0.0016382626820806644
Conservative Balanced,Cash,JPMorgan Chase Bank NA,South Africa Rand,,48204.0,0.0,,,AustralianSuper,0.00044136266216021435
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Sweden Krona,,19557.0,0.0,,,AustralianSuper,0.00017906666633199137
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,1818192.0,0.03,,,AustralianSuper,0.016647623878483207
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,-68945.0,0.0,,,AustralianSuper,-0.0006312702004529911
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Turkey Lira,,-1506.0,0.0,,,AustralianSuper,-1.3789149639309657e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,-825282.0,-0.01,,,AustralianSuper,-0.007556399065490541
Conservative Balanced,Cash,JPMorgan Chase Bank NA,United States Dollar,,-6354084.0,-0.09,,,AustralianSuper,-0.058178894486549323
Conservative Balanced,Cash,Mitsubishi UFJ Trust & Banking Corp/London,Euro Member Countries,,164215.0,0.0,,,AustralianSuper,0.001503575835338138
Conservative Balanced,Cash,Morgan Stanley & Co International PLC,Australia Dollar,,-2509129.0,-0.04,,,AustralianSuper,-0.02297394106595711
Conservative Balanced,Cash,MUFG Bank Ltd/London,Euro Member Countries,,533760.0,0.01,,,AustralianSuper,0.004887182278537797
Conservative Balanced,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,220389.0,0.0,,,AustralianSuper,0.00201791294811276
Conservative Balanced,Cash,National Australia Bank Ltd,Australia Dollar,,9564485.0,0.13,,,AustralianSuper,0.08757378146609074
Conservative Balanced,Cash,National Australia Bank Ltd,United Kingdom Pound,,424568.0,0.01,,,AustralianSuper,0.003887404836694836
