Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
International Shares,Cash,National Australia Bank Ltd,United Kingdom Pound,,247934.0,0.0,,,AustralianSuper,0.002699196861983103
International Shares,Cash,National Australia Bank Ltd,United States Dollar,,11262847.0,0.13,,,AustralianSuper,0.12261586260616053
International Shares,Cash,Royal Bank of Canada,United Kingdom Pound,,130729.0,0.0,,,AustralianSuper,0.0014232146723329156
International Shares,Cash,Royal Bank of Canada,United States Dollar,,13861965.0,0.15,,,AustralianSuper,0.15091182503779071
International Shares,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,6450686.0,0.07,,,AustralianSuper,0.07022704190969506
International Shares,Cash,Skandinaviska Enskilda Banken AB,Euro Member Countries,,132028.0,0.0,,,AustralianSuper,0.0014373565678523523
International Shares,Cash,Skandinaviska Enskilda Banken AB,United States Dollar,,5237224.0,0.06,,,AustralianSuper,0.05701637769044421
International Shares,Cash,Standard Chartered Bank,Euro Member Countries,,300430.0,0.0,,,AustralianSuper,0.0032707079837601283
International Shares,Cash,Standard Chartered Bank,United Kingdom Pound,,146507.0,0.0,,,AustralianSuper,0.0015949859021294316
International Shares,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,2542746.0,0.03,,,AustralianSuper,0.02768225424516237
International Shares,Cash,UBS AG,Australia Dollar,,649786.0,0.01,,,AustralianSuper,0.0070740613718189215
International Shares,Fixed Income,AMP Bank Ltd,,,522007.0,0.01,,,AustralianSuper,0.005682962628494735
International Shares,Fixed Income,Australia & New Zealand Banking Group Ltd,,,17550194.0,0.2,,,AustralianSuper,0.19106467274353128
International Shares,Fixed Income,Bank of Montreal,,,22619.0,0.0,,,AustralianSuper,0.00024624752482997814
International Shares,Fixed Income,Bank of Montreal/London,,,69261.0,0.0,,,AustralianSuper,0.0007540275793469701
International Shares,Fixed Income,Bank of Nova Scotia/Australia,,,210754.0,0.0,,,AustralianSuper,0.002294427288917159
International Shares,Fixed Income,Bendigo & Adelaide Bank Ltd,,,3041661.0,0.03,,,AustralianSuper,0.03311381991343013
International Shares,Fixed Income,BRED Banque Populaire COBPFA,,,2562137.0,0.03,,,AustralianSuper,0.027893359322927882
International Shares,Fixed Income,Canadian Imperial Bank of Commerce/Sydney,,,600314.0,0.01,,,AustralianSuper,0.006535471798964743
International Shares,Fixed Income,Commonwealth Bank of Australia,,,13777760.0,0.15,,,AustralianSuper,0.14999510578281444
International Shares,Fixed Income,Cooperatieve Rabobank UA/Australia,,,1310710.0,0.01,,,AustralianSuper,0.014269379427468087
International Shares,Fixed Income,Cooperatieve Rabobank UA/NY,,,153130.0,0.0,,,AustralianSuper,0.0016670888844429266
International Shares,Fixed Income,ING Bank NV/Sydney,,,834065.0,0.01,,,AustralianSuper,0.009080261806327235
International Shares,Fixed Income,Korea Development Bank/London,,,68869.0,0.0,,,AustralianSuper,0.000749759971153268
International Shares,Fixed Income,Mitsubishi UFJ Trust & Banking Corp,,,1067315.0,0.01,,,AustralianSuper,0.011619597549136043
International Shares,Fixed Income,Mitsubishi UFJ Trust & Banking Corp/London,,,1887784.0,0.02,,,AustralianSuper,0.020551843026377626
International Shares,Fixed Income,Mizuho Bank Ltd,,,854592.0,0.01,,,AustralianSuper,0.009303734238450006
International Shares,Fixed Income,Mizuho Bank Ltd/London,,,963091.0,0.01,,,AustralianSuper,0.010484936333879858
International Shares,Fixed Income,Mizuho Bank Ltd/Sydney,,,429651.0,0.0,,,AustralianSuper,0.004677505428654006
International Shares,Fixed Income,MUFG Bank Ltd/London,,,1700162.0,0.02,,,AustralianSuper,0.018509248167911285
International Shares,Fixed Income,MUFG Bank Ltd/Sydney,,,523794.0,0.01,,,AustralianSuper,0.005702417260745107
International Shares,Fixed Income,National Australia Bank Ltd,,,11875781.0,0.13,,,AustralianSuper,0.12928872526074905
International Shares,Fixed Income,National Australia Bank Ltd/London,,,854581.0,0.01,,,AustralianSuper,0.009303614484138448
International Shares,Fixed Income,Norfina Ltd,,,942998.0,0.01,,,AustralianSuper,0.010266188753685828
International Shares,Fixed Income,Oversea-Chinese Banking Corp Ltd/Sydney,,,1681048.0,0.02,,,AustralianSuper,0.018301158721445915
International Shares,Fixed Income,Royal Bank of Canada,,,22700.0,0.0,,,AustralianSuper,0.00024712935203326865
International Shares,Fixed Income,Royal Bank of Canada/London,,,92069.0,0.0,,,AustralianSuper,0.0010023327009846261
International Shares,Fixed Income,Royal Bank of Canada/Sydney,,,4755864.0,0.05,,,AustralianSuper,0.05177592901666737
International Shares,Fixed Income,Skandinaviska Enskilda Banken AB,,,110504.0,0.0,,,AustralianSuper,0.0012030300404001905
International Shares,Fixed Income,Standard Chartered Bank/Australia,,,1051900.0,0.01,,,AustralianSuper,0.011451778211620939
International Shares,Fixed Income,Sumitomo Mitsui Banking Corp,,,2160111.0,0.02,,,AustralianSuper,0.02351660051761833
International Shares,Fixed Income,Sumitomo Mitsui Banking Corp/Brussels,,,69299.0,0.0,,,AustralianSuper,0.000754441276059625
International Shares,Fixed Income,Sumitomo Mitsui Banking Corp/Sydney,,,2101810.0,0.02,,,AustralianSuper,0.022881891779605482
International Shares,Fixed Income,THE MITSUBISHI TRUST + BANK,,,11156.0,0.0,,,AustralianSuper,0.00012145264543097557
International Shares,Fixed Income,UBS AG/London,,,903887.0,0.01,,,AustralianSuper,0.009840396855563663
International Shares,Fixed Income,Westpac Banking Corp,,,22019408.0,0.25,,,AustralianSuper,0.23971991326855388
