PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$42,249",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$30,572",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$28,969",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$24,217",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$15,150",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,"$14,168",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,"$11,930",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$10,166",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,"$8,011",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$3,750",0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"$1,303",0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,$765,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"-$8,671",0.00%,
CASH,-,"BANK OF AMERICA, N.A.",-,-,-,USD,-,-,,,"-$62,261",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"-$179,960",0.00%,
CASH,-,"WELLS FARGO BANK, N.A.",-,-,-,USD,-,-,,,"-$331,120",0.00%,
CASH,-,WESTPAC BANKING CORPORATION,-,-,-,USD,-,-,,,"-$399,042",0.00%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"-$503,755",0.00%,
