PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$384,372",0.09%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$285,490",0.07%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$261,444",0.06%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$257,419",0.06%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$251,729",0.06%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$178,029",0.04%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$56,555",0.01%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$39,947",0.01%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$28,078",0.01%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$24,989",0.01%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$18,137",0.00%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$13,496",0.00%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 2,-,-,-,-,-,,,"$12,034",0.00%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$8,748",0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$22,837,584",5.50%,
FIXED INCOME,EXTERNALLY,-,-,STATE STREET INVESTMENT MANAGEMENT,-,-,-,-,,,"$71,831,740",17.30%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$71,831,740",17.30%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"80,118","$14,801,879",3.56%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"42,600","$10,269,862",2.47%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"12,346","$9,370,475",2.26%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"243,165","$8,936,304",2.15%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"26,244","$8,216,257",1.98%,
