PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$24,251",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$23,398",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$22,774",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,GBP,-,-,,,"$18,736",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,USD,-,-,,,"$18,437",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$12,742",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,JPY,-,-,,,"$3,417",0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"$2,100",0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,"$1,231",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"-$31,788",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,AUD,-,-,,,"-$36,242",0.00%,
CASH,-,"BANK OF AMERICA, N.A.",-,-,-,USD,-,-,,,"-$98,234",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"-$404,055",0.00%,
CASH,-,"WELLS FARGO BANK, N.A.",-,-,-,USD,-,-,,,"-$522,426",0.00%,
CASH,-,WESTPAC BANKING CORPORATION,-,-,-,USD,-,-,,,"-$629,590",0.00%,
