PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"207,188","$69,359,675",2.95%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"47,547","$53,550,004",2.28%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"96,683","$40,666,221",1.73%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"126,774","$34,090,862",1.45%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"62,647","$30,366,169",1.29%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"107,215","$29,020,880",1.23%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"60,180","$26,622,001",1.13%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"17,323","$20,605,948",0.88%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"37,270","$20,191,661",0.86%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"9,296","$18,994,651",0.81%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"18,270","$15,665,906",0.67%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,"9,534","$14,400,887",0.61%,
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"94,583","$14,112,097",0.60%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"50,344","$12,238,909",0.52%,
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"52,209","$12,168,885",0.52%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"36,365","$12,131,605",0.52%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"21,168","$11,842,470",0.50%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"159,870","$11,543,538",0.49%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"39,195","$11,101,396",0.47%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"8,533","$10,356,545",0.44%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"22,010","$10,177,263",0.43%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"93,570","$10,101,598",0.43%,
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"46,617","$9,696,764",0.41%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"19,539","$9,301,430",0.40%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"20,582","$9,258,037",0.39%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"86,044","$9,109,260",0.39%,
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"23,063","$9,058,060",0.38%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"72,390","$8,850,076",0.38%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"21,144","$8,797,793",0.37%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"56,684","$8,565,714",0.36%,
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"36,847","$7,647,204",0.32%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"41,458","$7,643,031",0.32%,
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"34,740","$7,522,047",0.32%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"15,006","$7,432,973",0.32%,
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,"6,788","$7,330,757",0.31%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"38,678","$7,318,894",0.31%,
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,"10,140","$7,259,386",0.31%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"68,703","$7,250,836",0.31%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"6,021","$7,236,656",0.31%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"384,111","$7,082,469",0.30%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"33,022","$6,987,762",0.30%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,"4,404","$6,908,168",0.29%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"15,316","$6,828,058",0.29%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"152,496","$6,734,165",0.29%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"30,091","$6,704,624",0.28%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"8,059","$6,682,752",0.28%,
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"17,034","$6,640,586",0.28%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"53,825","$6,501,547",0.28%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,722,"$6,380,288",0.27%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"19,778","$6,265,781",0.27%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,"10,401","$6,161,033",0.26%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"13,348","$6,087,538",0.26%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"90,241","$5,958,238",0.25%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"29,667","$5,954,160",0.25%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"12,206","$5,940,865",0.25%,
LISTED EQUITY,-,-,-,-,"UBER TECHNOLOGIES, INC.",-,UBER US,-,,"41,683","$5,934,329",0.25%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"224,085","$5,901,459",0.25%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"29,213","$5,885,843",0.25%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"24,046","$5,843,556",0.25%,
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"25,936","$5,574,628",0.24%,
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"59,877","$5,540,239",0.24%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"9,385","$5,540,132",0.24%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,"6,872","$5,528,802",0.23%,
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"136,131","$5,364,004",0.23%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"41,208","$5,352,348",0.23%,
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,"16,671","$5,330,157",0.23%,
LISTED EQUITY,-,-,-,-,CHARLES SCHWAB CORP.,-,SCHW US,-,,"38,133","$5,308,970",0.23%,
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,"8,390","$5,171,243",0.22%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"31,456","$5,155,537",0.22%,
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,"12,572","$5,119,400",0.22%,
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,"8,220","$5,085,478",0.22%,
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"242,549","$5,080,970",0.22%,
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"17,823","$4,978,701",0.21%,
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,"11,665","$4,969,666",0.21%,
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,"3,074","$4,921,054",0.21%,
LISTED EQUITY,-,-,-,-,"HONEYWELL INTERNATIONAL, INC.",-,HON US,-,,"13,447","$4,778,297",0.20%,
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,"7,768","$4,689,265",0.20%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"11,512","$4,656,140",0.20%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"125,668","$4,648,194",0.20%,
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"24,466","$4,601,220",0.20%,
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"26,154","$4,593,557",0.20%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,"5,754","$4,582,627",0.19%,
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,"5,673","$4,580,520",0.19%,
LISTED EQUITY,-,-,-,-,"GILEAD SCIENCES, INC.",-,GILD US,-,,"27,004","$4,568,416",0.19%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"24,220","$4,563,840",0.19%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"101,938","$4,528,208",0.19%,
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,"12,727","$4,468,222",0.19%,
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,"8,195","$4,464,331",0.19%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"14,104","$4,404,196",0.19%,
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"80,329","$4,374,668",0.19%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"13,333","$4,328,722",0.18%,
LISTED EQUITY,-,-,-,-,DEERE & CO.,-,DE US,-,,"5,578","$4,327,970",0.18%,
LISTED EQUITY,-,-,-,-,"CROWDSTRIKE HOLDINGS, INC.",-,CRWD US,-,,"5,476","$4,255,361",0.18%,
LISTED EQUITY,-,-,-,-,AIRBUS SE,-,AIR FP,-,,"13,298","$4,222,097",0.18%,
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,"13,978","$4,213,415",0.18%,
LISTED EQUITY,-,-,-,-,BANCO SANTANDER SA,-,SAN SM,-,,"331,685","$4,174,787",0.18%,
LISTED EQUITY,-,-,-,-,"AUTOMATIC DATA PROCESSING, INC.",-,ADP US,-,,"8,812","$4,146,797",0.18%,
LISTED EQUITY,-,-,-,-,KLA CORP.,-,KLAC US,-,,"3,014","$4,119,123",0.18%,
LISTED EQUITY,-,-,-,-,"T-MOBILE U.S., INC.",-,TMUS US,-,,"11,312","$4,112,443",0.17%,
LISTED EQUITY,-,-,-,-,"ANALOG DEVICES, INC.",-,ADI US,-,,"11,234","$4,080,160",0.17%,
LISTED EQUITY,-,-,-,-,TORONTO-DOMINION BANK,-,TD CN,-,,"36,367","$4,073,366",0.17%,
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"73,302","$4,066,253",0.17%,
LISTED EQUITY,-,-,-,-,SAFRAN SA,-,SAF FP,-,,"8,152","$4,028,446",0.17%,
LISTED EQUITY,-,-,-,-,LAM RESEARCH CORP.,-,LRCX US,-,,"26,977","$4,006,908",0.17%,
LISTED EQUITY,-,-,-,-,"LOWE'S COS., INC.",-,LOW US,-,,"11,803","$3,995,830",0.17%,
LISTED EQUITY,-,-,-,-,SPOTIFY TECHNOLOGY SA,-,SPOT US,-,,"3,369","$3,944,407",0.17%,
LISTED EQUITY,-,-,-,-,"MERCADOLIBRE, INC.",-,MELI US,-,,978,"$3,898,840",0.17%,
LISTED EQUITY,-,-,-,-,ROLLS-ROYCE HOLDINGS PLC,-,RR LN,-,,"188,597","$3,815,822",0.16%,
