PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCAEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"1,366,295","$12,337,648",0.83%,
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"303,799","$12,118,533",0.81%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"37,617","$11,301,029",0.76%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"33,179","$9,458,744",0.64%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"874,764","$9,394,964",0.63%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"1,143,631","$8,908,885",0.60%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"217,399","$8,135,068",0.55%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"1,589,689","$8,027,932",0.54%,
LISTED EQUITY,-,-,-,-,SIGMA HEALTHCARE LTD.,-,SIG AU,-,,"2,669,589","$7,982,070",0.54%,
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"112,196","$7,826,794",0.53%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"550,504","$7,817,158",0.53%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"30,486","$7,331,675",0.49%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"263,720","$7,065,067",0.47%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"171,837","$7,047,046",0.47%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"63,284","$6,983,392",0.47%,
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"1,278,005","$6,811,765",0.46%,
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"117,739","$6,366,130",0.43%,
LISTED EQUITY,-,-,-,-,NEWMONT CORP.,-,NEM AU,-,,"63,912","$5,580,136",0.37%,
LISTED EQUITY,-,-,-,-,ORICA LTD.,-,ORI AU,-,,"282,618","$5,508,234",0.37%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"371,075","$5,380,581",0.36%,
LISTED EQUITY,-,-,-,-,SEEK LTD.,-,SEK AU,-,,"205,483","$4,941,856",0.33%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"280,291","$4,792,970",0.32%,
LISTED EQUITY,-,-,-,-,LYNAS RARE EARTHS LTD.,-,LYC AU,-,,"493,601","$4,249,904",0.29%,
LISTED EQUITY,-,-,-,-,HUB24 LTD.,-,HUB AU,-,,"47,297","$4,217,462",0.28%,
LISTED EQUITY,-,-,-,-,BENDIGO & ADELAIDE BANK LTD.,-,BEN AU,-,,"332,369","$4,201,147",0.28%,
LISTED EQUITY,-,-,-,-,QUBE HOLDINGS LTD.,-,QUB AU,-,,"977,202","$4,182,424",0.28%,
LISTED EQUITY,-,-,-,-,RAMSAY HEALTH CARE LTD.,-,RHC AU,-,,"113,783","$4,174,684",0.28%,
LISTED EQUITY,-,-,-,-,EBOS GROUP LTD.,-,EBO AU,-,,"111,438","$3,966,061",0.27%,
LISTED EQUITY,-,-,-,-,TELIX PHARMACEUTICALS LTD.,-,TLX AU,-,,"157,448","$3,844,880",0.26%,
LISTED EQUITY,-,-,-,-,WORLEY LTD.,-,WOR AU,-,,"290,976","$3,805,972",0.26%,
LISTED EQUITY,-,-,-,-,FISHER & PAYKEL HEALTHCARE CORP. LTD.,-,FPH AU,-,,"112,880","$3,796,142",0.26%,
LISTED EQUITY,-,-,-,-,STEADFAST GROUP LTD.,-,SDF AU,-,,"614,263","$3,691,721",0.25%,
LISTED EQUITY,-,-,-,-,TREASURY WINE ESTATES LTD.,-,TWE AU,-,,"470,451","$3,674,219",0.25%,
LISTED EQUITY,-,-,-,-,AMPOL LTD.,-,ALD AU,-,,"139,674","$3,595,206",0.24%,
LISTED EQUITY,-,-,-,-,ENDEAVOUR GROUP LTD.,-,EDV AU,-,,"888,859","$3,564,326",0.24%,
LISTED EQUITY,-,-,-,-,CLEANAWAY WASTE MANAGEMENT LTD.,-,CWY AU,-,,"1,295,436","$3,523,587",0.24%,
LISTED EQUITY,-,-,-,-,"BLOCK, INC.",-,XYZ AU,-,,"32,694","$3,356,059",0.23%,
LISTED EQUITY,-,-,-,-,A2 MILK CO. LTD.,-,A2M AU,-,,"415,094","$3,324,900",0.22%,
LISTED EQUITY,-,-,-,-,AURIZON HOLDINGS LTD.,-,AZJ AU,-,,"1,020,507","$3,092,137",0.21%,
LISTED EQUITY,-,-,-,-,BANK OF QUEENSLAND LTD.,-,BOQ AU,-,,"392,359","$3,052,552",0.21%,
LISTED EQUITY,-,-,-,-,SANDFIRE RESOURCES LTD.,-,SFR AU,-,,"266,742","$2,992,844",0.20%,
LISTED EQUITY,-,-,-,-,"LIFE360, INC.",-,360 AU,-,,"91,035","$2,929,499",0.20%,
LISTED EQUITY,-,-,-,-,BLUESCOPE STEEL LTD.,-,BSL AU,-,,"123,832","$2,861,753",0.19%,
LISTED EQUITY,-,-,-,-,PERSEUS MINING LTD.,-,PRU AU,-,,"800,548","$2,721,865",0.18%,
LISTED EQUITY,-,-,-,-,ANSELL LTD.,-,ANN AU,-,,"86,009","$2,605,203",0.18%,
LISTED EQUITY,-,-,-,-,GENESIS MINERALS LTD.,-,GMD AU,-,,"585,172","$2,516,239",0.17%,
LISTED EQUITY,-,-,-,-,DOWNER EDI LTD.,-,DOW AU,-,,"382,456","$2,413,300",0.16%,
LISTED EQUITY,-,-,-,-,CHALLENGER LTD.,-,CGF AU,-,,"297,803","$2,406,249",0.16%,
LISTED EQUITY,-,-,-,-,VENTIA SERVICES GROUP PTY. LTD.,-,VNT AU,-,,"461,830","$2,392,282",0.16%,
LISTED EQUITY,-,-,-,-,METCASH LTD.,-,MTS AU,-,,"609,870","$2,384,592",0.16%,
LISTED EQUITY,-,-,-,-,AUB GROUP LTD.,-,AUB AU,-,,"65,534","$2,325,147",0.16%,
LISTED EQUITY,-,-,-,-,PILBARA MINERALS LTD.,-,PLS AU,-,,"1,715,392","$2,290,048",0.15%,
LISTED EQUITY,-,-,-,-,NETWEALTH GROUP LTD.,-,NWL AU,-,,"67,823","$2,278,183",0.15%,
LISTED EQUITY,-,-,-,-,ZIP CO. LTD.,-,ZIP AU,-,,"713,047","$2,189,053",0.15%,
LISTED EQUITY,-,-,-,-,"LIGHT & WONDER, INC.",-,LNW AU,-,,"14,781","$2,179,017",0.15%,
LISTED EQUITY,-,-,-,-,MINERAL RESOURCES LTD.,-,MIN AU,-,,"98,784","$2,129,784",0.14%,
LISTED EQUITY,-,-,-,-,GOLD ROAD RESOURCES LTD.,-,GOR AU,-,,"648,877","$2,121,827",0.14%,
LISTED EQUITY,-,-,-,-,PINNACLE INVESTMENT MANAGEMENT GROUP LTD.,-,PNI AU,-,,"101,214","$2,078,926",0.14%,
LISTED EQUITY,-,-,-,-,CAPRICORN METALS LTD.,-,CMM AU,-,,"216,727","$2,069,745",0.14%,
LISTED EQUITY,-,-,-,-,NIB HOLDINGS LTD.,-,NHF AU,-,,"284,297","$2,012,824",0.14%,
LISTED EQUITY,-,-,-,-,REGIS RESOURCES LTD.,-,RRL AU,-,,"437,141","$1,919,050",0.13%,
LISTED EQUITY,-,-,-,-,RELIANCE WORLDWIDE CORP. LTD.,-,RWC AU,-,,"459,110","$1,882,352",0.13%,
LISTED EQUITY,-,-,-,-,REECE LTD.,-,REH AU,-,,"126,490","$1,815,134",0.12%,
LISTED EQUITY,-,-,-,-,PALADIN ENERGY LTD.,-,PDN AU,-,,"222,285","$1,793,842",0.12%,
LISTED EQUITY,-,-,-,-,AMP LTD.,-,AMP AU,-,,"1,410,656","$1,777,426",0.12%,
LISTED EQUITY,-,-,-,-,BREVILLE GROUP LTD.,-,BRG AU,-,,"59,340","$1,749,932",0.12%,
LISTED EQUITY,-,-,-,-,IGO LTD.,-,IGO AU,-,,"411,102","$1,714,295",0.12%,
LISTED EQUITY,-,-,-,-,RAMELIUS RESOURCES LTD.,-,RMS AU,-,,"666,285","$1,679,039",0.11%,
LISTED EQUITY,-,-,-,-,HARVEY NORMAN HOLDINGS LTD.,-,HVN AU,-,,"311,931","$1,643,879",0.11%,
