Option_Name,Asset_Class,Name,Name_Type,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,_status
Balanced,Fixed Income,Aib Group Plc,Name of Issuer/Counterparty,,,1362292.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Air Lease Corp,Name of Issuer/Counterparty,,,4233765.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Air Liquide Finance SA,Name of Issuer/Counterparty,,,1007791.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Air Products And Chemicals Inc,Name of Issuer/Counterparty,,,2445457.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Airbus Se,Name of Issuer/Counterparty,,,1669356.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Akzo Nobel NV,Name of Issuer/Counterparty,,,1049229.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Alectra Inc,Name of Issuer/Counterparty,,,158326.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Alexandria Real Estate Equities Inc,Name of Issuer/Counterparty,,,2605627.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Alimentation Couche-Tard Inc,Name of Issuer/Counterparty,,,1009366.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Allianz Finance II BV,Name of Issuer/Counterparty,,,1201249.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Allianz Se,Name of Issuer/Counterparty,,,3117054.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ally Financial Inc,Name of Issuer/Counterparty,,,1278787.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Alphabet Inc,Name of Issuer/Counterparty,,,3956373.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Alstom SA,Name of Issuer/Counterparty,,,944224.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Altagas Ltd,Name of Issuer/Counterparty,,,894006.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,AltaLink LP,Name of Issuer/Counterparty,,,780619.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amadeus It Group Sa,Name of Issuer/Counterparty,,,1000002.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,AMAL Trustees Pty Ltd,Name of Issuer/Counterparty,,,6422302.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amazon.Com Inc,Name of Issuer/Counterparty,,,9697846.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amcor Flexibles North America Inc,Name of Issuer/Counterparty,,,2841228.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ameren Corp,Name of Issuer/Counterparty,,,1078830.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,America Movil SAB de CV,Name of Issuer/Counterparty,,,5292379.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Express Co,Name of Issuer/Counterparty,,,6496909.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Homes 4 Rent LP,Name of Issuer/Counterparty,,,2523566.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Honda Finance Corp,Name of Issuer/Counterparty,,,7816534.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American International Group Inc,Name of Issuer/Counterparty,,,501687.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Medical Systems Europe BV,Name of Issuer/Counterparty,,,1211239.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Tower Corp,Name of Issuer/Counterparty,,,7764172.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,American Water Capital Corp,Name of Issuer/Counterparty,,,1011420.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Americold Realty Operating Partnership LP,Name of Issuer/Counterparty,,,268498.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ameriprise Financial Inc,Name of Issuer/Counterparty,,,810381.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amgen Inc,Name of Issuer/Counterparty,,,11619900.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,AMP Bank Ltd,Name of Issuer/Counterparty,,,55739322.0,0.02,,,AustralianSuper,kept
Balanced,Fixed Income,Amphenol Corp,Name of Issuer/Counterparty,,,707480.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ampol Ltd,Name of Issuer/Counterparty,,,61629881.0,0.02,,,AustralianSuper,kept
Balanced,Fixed Income,Amprion GmbH,Name of Issuer/Counterparty,,,1843079.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amrize Finance US LLC,Name of Issuer/Counterparty,,,315645.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Amvest RCF Custodian BV,Name of Issuer/Counterparty,,,631958.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Analog Devices Inc,Name of Issuer/Counterparty,,,1633741.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Anglian Water Osprey Financing PLC,Name of Issuer/Counterparty,,,1301624.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Anglian Water Services Financing PLC,Name of Issuer/Counterparty,,,1129989.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Anglo American Capital PLC,Name of Issuer/Counterparty,,,2002271.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Anheuser-Busch Cos LLC / Anheuser-Busch InBev Worldwide Inc,Name of Issuer/Counterparty,,,8895181.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Anheuser-Busch InBev SA/NV,Name of Issuer/Counterparty,,,5892059.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Antero Resources Corp,Name of Issuer/Counterparty,,,2160414.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Aon North America Inc,Name of Issuer/Counterparty,,,4391098.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,APA Corp,Name of Issuer/Counterparty,,,484477.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Apollo Debt Solutions BDC,Name of Issuer/Counterparty,,,1282868.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,APPF Commercial Finance Pty Ltd,Name of Issuer/Counterparty,,,15417142.0,0.01,,,AustralianSuper,kept
Balanced,Fixed Income,Apple Inc,Name of Issuer/Counterparty,,,18280519.0,0.01,,,AustralianSuper,kept
Balanced,Fixed Income,APRR SA,Name of Issuer/Counterparty,,,1466473.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,ArcelorMittal SA,Name of Issuer/Counterparty,,,3424902.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ares Capital Corp,Name of Issuer/Counterparty,,,2215116.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Ares Strategic Income Fund,Name of Issuer/Counterparty,,,1164552.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Arkema Sa,Name of Issuer/Counterparty,,,854248.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Aroundtown Sa,Name of Issuer/Counterparty,,,1879624.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Arthur J Gallagher & Co,Name of Issuer/Counterparty,,,3043559.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Asahi Group Holdings Ltd,Name of Issuer/Counterparty,,,954319.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,ASB Bank Ltd,Name of Issuer/Counterparty,,,1035956.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Asml Holding Nv,Name of Issuer/Counterparty,,,1150994.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Asr Nederland Nv,Name of Issuer/Counterparty,,,1243960.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Assa Abloy Ab,Name of Issuer/Counterparty,,,775851.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Assura Financing PLC,Name of Issuer/Counterparty,,,909503.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,ASTM SpA,Name of Issuer/Counterparty,,,1160224.0,0.0,,,AustralianSuper,kept
Balanced,Fixed Income,Astrazeneca Finance LLC,Name of Issuer/Counterparty,,,5987291.0,0.0,,,AustralianSuper,kept
