Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,MORGAN STANLEY,-5720.0,0.0,-,USD,,AwareSuper,Accumulation-High-Growth-Indexed (1),-0.0006055907239957905
Fixed Income,Internally,WESTPAC BANKING CORPORATION,18548546.0,1.96,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),1.963781014197417
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,5042551.0,0.53,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.5338675019013458
Fixed Income,Internally,COMMONWEALTH BANK OF AUSTRALIA,3463804.0,0.37,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3667216035208943
Fixed Income,Internally,NATIONAL AUSTRALIA BANK LIMITED,1396701.0,0.15,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.14787223248175607
Fixed Income,Internally,STANDARD CHARTERED BANK,1304688.0,0.14,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.13813058575325526
Fixed Income,Internally,CANADIAN IMPERIAL BANK OF COMMERCE,1180172.0,0.12,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.12494776502090213
Fixed Income,Internally,UNITED STATES TREASURY,1087299.0,0.11,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.11511506793879356
Fixed Income,Internally,NBN CO. LTD.,1074350.0,0.11,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.11374412488197161
Fixed Income,Internally,UNITED OVERSEAS BANK LTD.,871845.0,0.09,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.09230441341994931
Fixed Income,Internally,COOPERATIEVE RABOBANK UA,776835.0,0.08,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.08224546679637587
Fixed Income,Internally,OVERSEA-CHINESE BANKING CORP. LTD.,645882.0,0.07,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.06838114475451909
Fixed Income,Internally,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,640048.0,0.07,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.06776348456504507
Fixed Income,Internally,SUMITOMO MITSUI BANKING CORP.,491061.0,0.05,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.05198985778253443
Fixed Income,Internally,BENDIGO & ADELAIDE BANK LTD.,458009.0,0.05,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.04849055977387903
Fixed Income,Internally,THE BANK OF NOVA SCOTIA,428649.0,0.05,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.04538214305071182
Fixed Income,Internally,DBS BANK LTD.,413871.0,0.04,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.04381755918371711
Fixed Income,Internally,MIZUHO BANK LTD.,322645.0,0.03,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0341592341160178
Fixed Income,Internally,BANK OF QUEENSLAND LTD.,91717.0,0.01,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.009710308467259078
Fixed Income,Internally,NORFINA LTD.,64783.0,0.01,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.006858738439269109
Fixed Income,Internally,KIWIBANK LTD.,62574.0,0.01,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.006624866077502203
Fixed Income,Internally,TORONTO-DOMINION BANK,40526.0,0.0,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.004290589105009337
Fixed Income,Internally,SCENTRE GROUP TRUST 1,29414.0,0.0,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0031141338383937384
Fixed Income,Internally,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,21887.0,0.0,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0023172314993174592
Fixed Income,Internally,SCENTRE GROUP TRUST 2,19516.0,0.0,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0020662077918709525
Fixed Income,Internally,UBS AG,14187.0,0.0,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0015020132170154338
Fixed Income,Externally,STATE STREET INVESTMENT MANAGEMENT,63422757.0,6.7,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),6.714726106545296
Equity,-,CommBank,39207533.0,4.14,CBA AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),4.150999702020778
Equity,-,Nvidia,27462456.0,2.9,NVDA US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),2.907518988066878
Equity,-,Microsoft,25057566.0,2.65,MSFT US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),2.6529072614532008
Equity,-,BHP,23670672.0,2.5,BHP AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),2.5060733206200854
Equity,-,Apple,21971009.0,2.32,AAPL US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),2.326125742522383
Equity,-,NAB,15269238.0,1.61,NAB AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.616592464210496
Equity,-,Amazon,14950227.0,1.58,AMZN US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.582817970774723
Equity,-,Csl,14699073.0,1.55,CSL AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.5562276678561149
Equity,-,Westpac,14697166.0,1.55,WBC AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.556025768990615
Equity,-,Wesfarmers,12188130.0,1.29,WES AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.2903878445550376
Equity,-,Meta,11538832.0,1.22,META US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.2216450393261882
Equity,-,Anz,10988384.0,1.16,ANZ AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.1633677311370212
Equity,-,Macquarie,10485679.0,1.11,MQG AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),1.1101450939156394
Equity,-,Broadcom,8771639.0,0.93,AVGO US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.9286753868251245
Equity,-,Alphabet,7351936.0,0.78,GOOGL US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.7783678750018735
Equity,-,Telstra,7057991.0,0.75,TLS AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.7472471817562542
Equity,-,Tesla,6550559.0,0.69,TSLA US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.6935240852075423
Equity,-,Alphabet,6248612.0,0.66,GOOG US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.661556200183354
Equity,-,JPMorgan,5753526.0,0.61,JPM US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.6091402055714344
Equity,-,Woodside Energy,5698713.0,0.6,WDS AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.6033370159989903
Equity,-,Rio Tinto,5061110.0,0.53,RIO AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.535832389706702
Equity,-,Woolworths,4817223.0,0.51,WOW AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.5100114622760794
Equity,-,Aristocrat Leisure,4650886.0,0.49,ALL AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.49240094754578434
Equity,-,Qbe Insurance,4479725.0,0.47,QBE AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.4742797038552523
Equity,-,Eli Lilly,4455209.0,0.47,LLY US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.47168413354240596
Equity,-,Visa,4357562.0,0.46,V US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.4613460011252702
Equity,-,Netflix,4091107.0,0.43,NFLX US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.4331357430199732
Equity,-,Brambles,4084439.0,0.43,BXB AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.4324297851620005
Equity,-,Coles,3560528.0,0.38,COL AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3769620156166581
Equity,-,Xero,3557567.0,0.38,XRO AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.37664852713173647
Equity,-,Mastercard,3340821.0,0.35,MA US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.35370108533747224
Equity,-,Fortescue,3292627.0,0.35,FMG AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3485986658702951
Equity,-,Northern Star Resources,3174211.0,0.34,NST AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3360616674135319
Equity,-,Costco,3113385.0,0.33,COST US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.32962186647336267
Equity,-,James Hardie Industries,3055990.0,0.32,JHX AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.32354531409508674
Equity,-,Walmart,3051908.0,0.32,WMT US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.32311314253296247
Equity,-,Suncorp,2978686.0,0.31,SUN AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3153609460307911
Equity,-,Resmed,2898655.0,0.31,RMD AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.30688786364755566
Equity,-,Wisetech Global,2778592.0,0.29,WTC AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.29417649317638317
Equity,-,Insurance Australia,2711095.0,0.29,IAG AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.28703041676072866
Equity,-,Computershare,2662946.0,0.28,CPU AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2819327615562403
Equity,-,Procter & Gamble,2650576.0,0.28,PG US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2806231186793473
Equity,-,Johnson & Johnson,2624852.0,0.28,JNJ US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2778996543814334
Equity,-,Oracle,2619191.0,0.28,ORCL US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2773003101351851
Equity,-,Home Depot,2565861.0,0.27,HD US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.27165412948646206
Equity,-,Cochlear,2483307.0,0.26,COH AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.26291393077514247
Equity,-,Bank Of America,2471959.0,0.26,BAC US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2617124895975368
Equity,-,Abbvie,2376596.0,0.25,ABBV US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2516161699799825
Equity,-,Asml Nv,2233590.0,0.24,ASML NA,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2364757666450626
Equity,-,Sap Se,2207239.0,0.23,SAP GR,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.23368592028701832
Equity,-,Coca-Cola,2139706.0,0.23,KO US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.22653603246121276
Equity,-,Palantir Technologies,2086456.0,0.22,PLTR US,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.2208983216128254
Equity,-,Pro Medicus,2078480.0,0.22,PME AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.22005388251936553
Equity,-,Qantas Airways,2064465.0,0.22,QAN AU,-,Listed,AwareSuper,Accumulation-High-Growth-Indexed (1),0.21857007937307166
