HC SRI Defensive - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Portfolio Holdings Information for Investment Option HC SRI Defensive - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
AUSTRALIAN STOCK EXCHANGE NPV,AU000000ASX7,131.92,"9,203",0.04%
AUTOMATIC DATA PROCESSING COM USD0.10,US0530151036,4.23,"1,989",0.01%
AUTOZONE INC COM STK USD0.01,US0533321024,0.2,"1,137",0.01%
AVALONBAY COMMUNITIES INC COM USD0.01,US0534841012,11.54,"3,583",0.02%
AVERY DENNISON CORP COM USD1,US0536111091,3.3,883,0.00%
AVZ MINERALS LTD AVZ,AU000000AVZ6,584.33,456,0.00%
AXA SA CSLI,FR0000120628,22.36,"1,669",0.01%
AXON ENTERPRISE INC,US05464C1018,0.95,"1,203",0.01%
BANCO BILBAO VIZCAYA ARGENTA BBVA,ES0113211835,104.41,"2,442",0.01%
BANCO BPM SPA,IT0005218380,84.93,"1,508",0.01%
BANCO DE SABADELL SA EUR0.125,ES0113860A34,222.92,"1,079",0.01%
BANCO SANTANDER SA SANN,ES0113900J37,267.67,"3,369",0.02%
BANK OF AMERICA CORP COM STK USD0.01,US0605051046,144.33,"10,421",0.05%
BANK OF MONTREAL COM NPV,CA0636711016,8.29,"1,398",0.01%
BANK OF NEW YORK MELLON CORP COM STK USD0.01,US0640581007,13.83,"1,923",0.01%
BANK OF QUEENSLAND LTD,AU000000BOQ8,668.77,"5,203",0.02%
BAXTER INTERNATIONAL INC COM USD1,US0718131099,19.12,883,0.00%
BCE INC COM NPV,CA05534B7604,31.74,"1,072",0.01%
BE SEMICONDUCTOR INDUSTRIES,NL0012866412,5.55,"1,263",0.01%
BENDIGO AND ADELAIDE BANK NPV,AU000000BEN6,883.34,"11,165",0.05%
BEST BUY CO INC COM USD0.10,US0865161014,8,819,0.00%
BIOGEN INC,US09062X1037,8,"1,534",0.01%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,US09061G1013,9.83,825,0.00%
BLACKROCK FUNDING INC/DE,US09290D1019,0.94,"1,500",0.01%
BLACKSTONE GROUP INC/THE,US09260D1072,8.1,"1,849",0.01%
BLOCK INC - CDI,AU0000380420,13.42,"1,378",0.01%
BLUESCOPE STEEL LTD,AU000000BSL0,"1,237.86","28,607",0.14%
BOC HONG KONG HOLDINGS LTD,HK2388011192,229.04,"1,518",0.01%
BOOKING HOLDINGS INC,US09857L1089,0.89,"7,866",0.04%
BOSTON SCIENTIFIC CORP COM STK,US1011371077,70.49,"11,553",0.06%
BRAMBLES LTD NPV,AU000000BXB1,"1,717.57","40,226",0.19%
BRIDGESTONE CORPORATION NPV,JP3830800003,11.84,738,0.00%
BRISTOL-MYERS SQUIBB CO COM STK USD0.10,US1101221083,47.21,"3,335",0.02%
BROADCOM INC,US11135F1012,57.73,"24,282",0.12%
BUILDERS FIRSTSOURCE INC COM USD0.01,US12008R1077,4.6,818,0.00%
BXP INC,US1011211018,9.26,954,0.00%
CADENCE DESIGN SYS INC COM STK USD0.01,US1273871087,4.59,"2,156",0.01%
CAIXABANK,ES0140609019,146.55,"1,930",0.01%
CAPITALAND INTEGRATED COMMER,SG1M51904654,"4,424.41","11,503",0.05%
CAPSTONE COPPER CORP-CDI,AU0000318552,"1,088.51","10,254",0.05%
CAR GROUP LTD CAR,AU000000CAR3,43.62,"1,632",0.01%
CARLISLE COS INC COM USD1,US1423391002,8.07,"4,598",0.02%
CARLYLE GROUP INC/THE,US14316J1088,24.28,"1,904",0.01%
CARRIER GLOBAL CORP-W/I,US14448C1045,28.02,"3,129",0.01%
CBOE GLOBAL MARKETS INC,US12503M1080,4.54,"1,617",0.01%
CDW CORP/DE COM USD0.01,US12514G1085,4.97,"1,355",0.01%
CELESTICA INC,CA15101Q2071,5.02,"1,194",0.01%
CENTENE CORP COM USD0.001,US15135B1017,26.8,"2,219",0.01%
CENTRAL JAPAN RAILWAY CO NPV,JP3566800003,41.18,"1,406",0.01%
CHALLENGER LTD,AU000000CGF5,791.46,"6,395",0.03%
CHAMPION IRON LTD CIA,AU000000CIA2,"2,228.57","9,293",0.04%
CHARTER COMMUNICATIONS INC,US16119P1084,2.73,"1,702",0.01%
CHARTER HALL LONG WALE REIT CLW,AU000000CLW0,239.69,978,0.00%
CHARTER HALL RETAIL REIT,AU000000CQR9,610.65,"2,345",0.01%
CHECK POINT SOFTWARE TECH ORD ILS0.01,IL0010824113,13.34,"4,504",0.02%
CHIBA BANK LTD/THE,JP3511800009,130.73,"1,843",0.01%
CHIPOTLE MEXICAN GRILL INC COM USD0.01,US1696561059,14.55,"1,246",0.01%
CHORUS LTD NPV,NZCNUE0001S2,326.16,"2,547",0.01%
CHUBB LTD,CH0044328745,15.26,"6,747",0.03%
CIE FINANCIERE RICHEMON-REG CHF1.00 (REG) SER 'A',CH0210483332,3.26,933,0.00%
CIGNA CORP,US1255231003,5.28,"2,664",0.01%
CINTAS CORP COM,US1729081059,6.01,"2,044",0.01%
CISCO SYSTEMS INC COM USD0.001,US17275R1023,82.55,"8,740",0.04%
CITIZENS FINANCIAL GROUP CFG,US1746101054,13.76,939,0.00%
CLEANAWAY WASTE MANAGEMENT L CWY,AU000000CWY3,"6,215.71","16,907",0.08%
CLOUDFLARE INC - CLASS A NET,US18915M1071,5.93,"1,773",0.01%
CME GROUP INC CME,US12572Q1058,7.66,"3,221",0.02%
COCHLEAR LIMITED NPV,AU000000COH5,105.03,"31,554",0.15%
COGNIZANT TECH SOLUTIONS-A COM CL'A'USD0.01,US1924461023,11.35,"1,351",0.01%
COINBASE GLOBAL INC -CLASS A,US19260Q1076,2.39,"1,280",0.01%
COLGATE-PALMOLIVE CO COM USD1,US1941621039,43.72,"6,064",0.03%
COMCAST CORP-CLASS A COM CLS'A' USD0.01,US20030N1019,89.35,"4,866",0.02%
COMMERZBANK AG NPV,DE000CBK1001,43.69,"2,096",0.01%
COMMONWEALTH BANK OF AUSTRAL NPV,AU000000CBA7,953.01,"176,069",0.84%
COMPUTERSHARE LTD NPV(POST REC),AU000000CPU5,397.05,"15,838",0.08%
CONCORDIA FINANCIAL GROUP LTD,JP3305990008,231.62,"2,293",0.01%
CONSTELLATION SOFTWARE INC COM STK NPV,CA21037X1006,0.25,"1,380",0.01%
CONTINENTAL AG NPV,DE0005439004,11.03,"1,464",0.01%
COOPER COS INC/THE,US2166485019,14.26,"1,548",0.01%
COREBRIDGE FINANCIAL INC,US21871X1090,22.11,"1,198",0.01%
CORNING INC COM USD0.50,US2193501051,14.69,"1,179",0.01%
CORPAY INC,US2199481068,5.87,"2,974",0.01%
COVIVIO,FR0000064578,39.94,"3,831",0.02%
CRH PLC,IE0001827041,26.13,"3,660",0.02%
CROWDSTRIKE HOLDINGS INC - A CRWD,US22788C1053,8.45,"6,568",0.03%
CSL LTD,AU000000CSL8,372.88,"89,298",0.43%
CVS HEALTH CORP CVS,US1266501006,10.33,"1,087",0.01%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,IL0011334468,4.43,"2,751",0.01%
