HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ASTRAZENECA PLC ORD USD0.25,GB0009895292,"3,515.63","743,946",0.12%
AT&T INC COM STK USD1,US00206R1023,"12,614.87","557,068",0.09%
ATLAS ARTERIA-STAPLED,AU0000013559,"247,890.59","1,261,763",0.20%
ATLASSIAN CORP PLC-CLASS A,US0494681010,351.1,"108,805",0.02%
AUSTRALIAN STOCK EXCHANGE NPV,AU000000ASX7,"13,134.29","916,248",0.15%
AUTOMATIC DATA PROCESSING COM USD0.10,US0530151036,473.32,"222,741",0.04%
AUTOZONE INC COM STK USD0.01,US0533321024,22.48,"127,363",0.02%
AVALONBAY COMMUNITIES INC COM USD0.01,US0534841012,"1,292.56","401,368",0.06%
AVERY DENNISON CORP COM USD1,US0536111091,369.55,"98,947",0.02%
AVZ MINERALS LTD AVZ,AU000000AVZ6,"58,174.89","45,376",0.01%
AXA SA CSLI,FR0000120628,"2,504.99","186,968",0.03%
AXON ENTERPRISE INC,US05464C1018,106.66,"134,745",0.02%
BANCO BILBAO VIZCAYA ARGENTA BBVA,ES0113211835,"11,695.32","273,482",0.04%
BANCO BPM SPA,IT0005218380,"9,512.61","168,888",0.03%
BANCO DE SABADELL SA EUR0.125,ES0113860A34,"24,969.72","120,892",0.02%
BANCO SANTANDER SA SANN,ES0113900J37,"29,981.43","377,365",0.06%
BANK OF AMERICA CORP COM STK USD0.01,US0605051046,"16,166.24","1,167,295",0.19%
BANK OF MONTREAL COM NPV,CA0636711016,928.2,"156,644",0.02%
BANK OF NEW YORK MELLON CORP COM STK USD0.01,US0640581007,"1,549.11","215,365",0.03%
BANK OF QUEENSLAND LTD,AU000000BOQ8,"66,582.30","518,010",0.08%
BAXTER INTERNATIONAL INC COM USD1,US0718131099,"2,141.20","98,933",0.02%
BCE INC COM NPV,CA05534B7604,"3,555.41","120,074",0.02%
BE SEMICONDUCTOR INDUSTRIES,NL0012866412,621.49,"141,432",0.02%
BENDIGO AND ADELAIDE BANK NPV,AU000000BEN6,"87,944.07","1,111,613",0.18%
BEST BUY CO INC COM USD0.10,US0865161014,895.91,"91,772",0.01%
BIOGEN INC,US09062X1037,896.49,"171,802",0.03%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,US09061G1013,"1,101.16","92,364",0.01%
BLACKROCK FUNDING INC/DE,US09290D1019,104.93,"167,994",0.03%
BLACKSTONE GROUP INC/THE,US09260D1072,907.44,"207,119",0.03%
BLOCK INC - CDI,AU0000380420,"1,336.48","137,190",0.02%
BLUESCOPE STEEL LTD,AU000000BSL0,"123,240.23","2,848,082",0.45%
BOC HONG KONG HOLDINGS LTD,HK2388011192,"25,655.21","170,055",0.03%
BOOKING HOLDINGS INC,US09857L1089,99.74,"881,069",0.14%
BOSTON SCIENTIFIC CORP COM STK,US1011371077,"7,895.46","1,294,044",0.21%
BRAMBLES LTD NPV,AU000000BXB1,"170,999.90","4,004,818",0.64%
BRIDGESTONE CORPORATION NPV,JP3830800003,"1,326.00","82,646",0.01%
BRISTOL-MYERS SQUIBB CO COM STK USD0.10,US1101221083,"5,288.43","373,543",0.06%
BROADCOM INC,US11135F1012,"6,466.27","2,719,808",0.43%
BUILDERS FIRSTSOURCE INC COM USD0.01,US12008R1077,514.83,"91,670",0.01%
BXP INC,US1011211018,"1,037.74","106,838",0.02%
CADENCE DESIGN SYS INC COM STK USD0.01,US1273871087,513.68,"241,536",0.04%
CAIXABANK,ES0140609019,"16,414.72","216,220",0.03%
CAPITALAND INTEGRATED COMMER,SG1M51904654,"495,581.36","1,288,402",0.21%
CAPSTONE COPPER CORP-CDI,AU0000318552,"108,371.38","1,020,858",0.16%
CAR GROUP LTD CAR,AU000000CAR3,"4,342.86","162,510",0.03%
CARLISLE COS INC COM USD1,US1423391002,903.99,"515,066",0.08%
CARLYLE GROUP INC/THE,US14316J1088,"2,719.45","213,290",0.03%
CARRIER GLOBAL CORP-W/I,US14448C1045,"3,138.58","350,519",0.06%
CBOE GLOBAL MARKETS INC,US12503M1080,509.07,"181,155",0.03%
CDW CORP/DE COM USD0.01,US12514G1085,556.92,"151,767",0.02%
CELESTICA INC,CA15101Q2071,562.11,"133,741",0.02%
CENTENE CORP COM USD0.001,US15135B1017,"3,001.37","248,591",0.04%
CENTRAL JAPAN RAILWAY CO NPV,JP3566800003,"4,612.17","157,471",0.03%
CHALLENGER LTD,AU000000CGF5,"78,796.74","636,678",0.10%
CHAMPION IRON LTD CIA,AU000000CIA2,"221,874.47","925,217",0.15%
CHARTER COMMUNICATIONS INC,US16119P1084,305.56,"190,607",0.03%
CHARTER HALL LONG WALE REIT CLW,AU000000CLW0,"23,863.25","97,362",0.02%
CHARTER HALL RETAIL REIT,AU000000CQR9,"60,796.13","233,457",0.04%
CHECK POINT SOFTWARE TECH ORD ILS0.01,IL0010824113,"1,494.34","504,499",0.08%
CHIBA BANK LTD/THE,JP3511800009,"14,643.65","206,439",0.03%
