Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARDO,Index Diversified,Equity,Listed,,Sherwin-Williams Co,Name,,,2804211,3081,United States,,,1614297.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shimadzu Corp,Name,,,6804369,7260,Japan,,,273967.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shimano Inc,Name,,,6804820,916,Japan,,,202369.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shin Kong Financial Holding Co Ltd,Name,,,6452586,166356,Taiwan,,,98193.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shin-Etsu Chemical Co Ltd,Name,,,6804585,18891,Japan,,,952326.0,0.03,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shinhan Financial Group Co Ltd,Name,,,6397502,4210,South Korea,,,292286.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shionogi & Co Ltd,Name,,,6804682,15860,Japan,,,434613.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shiseido Co Ltd,Name,,,6805265,4370,Japan,,,118814.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shopify Inc,Name,,,BX865C7,13802,Canada,,,2424139.0,0.06,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shoprite Holdings Ltd,Name,,,6801575,9196,South Africa,,,218682.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Shriram Finance Ltd,Name,,,BS4DBX0,23991,India,,,301732.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siam Cement Pcl,Name,,,6609906,6133,Thailand,,,48359.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siemens Ag,Name,,,5727973,8684,Germany,,,3385593.0,0.09,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siemens Energy Ag,Name,,,BMTVQK9,9183,Germany,,,1612879.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siemens Healthineers Ag,Name,,,BD594Y4,4406,Germany,,,371421.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siemens Ltd,Name,,,B15T569,758,India,,,43839.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sig Group Ag,Name,,,BD5GN60,6355,Switzerland,,,178603.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sigma Healthcare Ltd,Name,,,BF13K02,2613978,Australia,,,7815795.0,0.21,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sika AG,Name,,,BF2DSG3,2709,Switzerland,,,1118551.0,0.03,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Silergy Corp,Name,,,BH4DMW9,2820,China,,,52359.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Property,Listed,,Simon Property Group Inc,Name,,,2812452,3275,United States,,,803360.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sims Ltd,Name,,,B0LCW75,72647,Australia,,,1114412.0,0.03,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Singapore Airlines Ltd,Name,,,6811734,8811,Singapore,,,73578.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Singapore Exchange Ltd,Name,,,6303866,9869,Singapore,,,175927.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Singapore Technologies Engineering Ltd,Name,,,6043214,22557,Singapore,,,210518.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Singapore Telecommunications Ltd,Name,,,B02PY11,87760,Singapore,,,401639.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sino Biopharmaceutical Ltd,Name,,,B00XSF9,138865,Hong Kong,,,141983.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sino Land Co Ltd,Name,,,6810429,76511,Hong Kong,,,124185.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sinopac Financial Holdings Co Ltd,Name,,,6525875,100292,Taiwan,,,126779.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sitc International Holdings Co Ltd,Name,,,B61X7R5,9869,Hong Kong,,,48245.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Siteminder Ltd,Name,,,BLH35X6,112018,Australia,,,496238.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sk Hynix Inc,Name,,,6450267,5928,South Korea,,,1957161.0,0.05,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sk Inc,Name,,,B39Z8L3,346,South Korea,,,80024.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sk Innovation Co Ltd,Name,,,B232R05,414,South Korea,,,57360.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sk Square Co Ltd,Name,,,BMG3GS6,920,South Korea,,,190331.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Skandinaviska Enskilda Banken AB,Name,,,4813345,15456,Sweden,,,408553.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Skanska Ab,Name,,,7142091,6127,Sweden,,,216012.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Skf Ab,Name,,,B1Q3J35,2500,Sweden,,,86884.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sm Investments Corp,Name,,,B068DB9,5343,Philippines,,,126211.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sm Prime Holdings Inc,Name,,,6818843,237551,Philippines,,,150899.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smartgroup Corporation Ltd,Name,,,BNB5WS6,61119,Australia,,,450444.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smc Corp,Name,,,6763965,564,Japan,,,310011.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smith & Nephew Plc,Name,,,922320,10438,United Kingdom,,,242927.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smiths Group Plc,Name,,,B1WY233,2643,United Kingdom,,,124111.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smurfit WestRock PLC,Name,,,BRK49M5,3262,Ireland,,,214750.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Smurfit WestRock PLC,Name,,,BSMR1R8,2407,Ireland,,,158108.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Snam SpA,Name,,,7251470,24628,Italy,,,226834.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Snap Inc,Name,,,BD8DJ71,10633,United States,,,141000.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Snap-On Inc,Name,,,2818740,428,United States,,,203167.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Snowflake Inc.,Name,,,BN134B7,3704,United States,,,1264575.0,0.03,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sociedad Quimica Y Minera De Chile Sa,Name,,,2718301,2589,Chile,,,140518.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Societe Generale SA,Name,,,5966516,7409,France,,,644316.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sodexo SA,Name,,,7062713,573,France,,,53583.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sofina Sa,Name,,,4820301,4,Belgium,,,2121.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Softbank Corp,Name,,,BF5M0K5,323548,Japan,,,762198.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Softbank Group Corp,Name,,,6770620,11983,Japan,,,1331093.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Solventum Corp,Name,,,BMTQB43,1733,United States,,,200590.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sompo Holdings Inc,Name,,,B62G7K6,8952,Japan,,,410907.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sonic Healthcare Ltd,Name,,,6821120,217570,Australia,,,5828709.0,0.15,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sonova Holding Ag,Name,,,7156036,533,Switzerland,,,241495.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sony Group Corp,Name,,,6821506,71759,Japan,,,2827528.0,0.07,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,South32 Ltd,Name,,,BWSW5D9,2041844,Australia,,,5941767.0,0.16,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Southern Co,Name,,,2829601,13011,United States,,,1823148.0,0.05,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Southern Copper Corp,Name,,,2823777,2378,United States,,,367155.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Spartan Resources Ltd/Australia,Name,,,BS2L471,418040,Australia,,,829809.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Spirax-Sarco Engineering Plc,Name,,,BWFGQN1,623,United Kingdom,,,77592.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Spotify Technology Sa,Name,,,BFZ1K46,1692,Luxembourg,,,1980851.0,0.05,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Srf Ltd,Name,,,6374947,3670,India,,,211689.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Ss&C Technologies Holdings Inc,Name,,,B58YSC6,2751,United States,,,347512.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Sse Plc,Name,,,0790873,9911,United Kingdom,,,379453.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Standard Bank Group Ltd,Name,,,B030GJ7,14006,South Africa,,,273635.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Standard Chartered PLC,Name,,,408284,22821,United Kingdom,,,575972.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Stantec Inc,Name,,,2854238,1551,Canada,,,256958.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Starbucks Corp,Name,,,2842255,12998,United States,,,1817404.0,0.05,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,State Bank Of India,Name,,,BSQCB24,15764,India,,,230100.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Steadfast Group Ltd,Name,,,BCT5FD7,501055,Australia,,,3011340.0,0.08,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Steel Dynamics Inc,Name,,,2849472,1339,United States,,,261608.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Stellantis Nv,Name,,,BMD8KX7,17166,United Kingdom,,,261625.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Steris Plc,Name,,,BFY8C75,1318,Ireland,,,483174.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Stmicroelectronics Nv,Name,,,5962332,6583,Netherlands,,,305810.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Property,Listed,,Stockland Corporation Ltd,Name,,,6850856,1086853,Australia,,,5825533.0,0.15,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Stora Enso Oyj,Name,,,5072673,5803,Finland,,,95872.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Strategy Inc,Name,,,2974329,2820,United States,,,1739167.0,0.05,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Straumann Holding Ag,Name,,,BQ7ZV06,1292,Switzerland,,,256479.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Equity,Listed,,Stryker Corp,Name,,,2853688,4025,United States,,,2429843.0,0.06,,,,,,,nan,nan
