Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARAS,Australian Shares,Fixed Income,All Assets,,Cooperatieve Rabobank UA/Australia,Name of Issuer/Counterparty,,Corporate,,,,,,1723623.0,0.02,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Cooperatieve Rabobank UA/NY,Name of Issuer/Counterparty,,Corporate,,,,,,-192.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,ING Bank NV/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,1096821.0,0.01,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Mitsubishi UFJ Trust & Banking Corp,Name of Issuer/Counterparty,,Corporate,,,,,,-1339.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Mitsubishi UFJ Trust & Banking Corp/London,Name of Issuer/Counterparty,,Corporate,,,,,,-2369.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Mizuho Bank Ltd,Name of Issuer/Counterparty,,Corporate,,,,,,-1072.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Mizuho Bank Ltd/London,Name of Issuer/Counterparty,,Corporate,,,,,,-1078.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,Mizuho Bank Ltd/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,-539.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,MUFG Bank Ltd/London,Name of Issuer/Counterparty,,Corporate,,,,,,-2133.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,MUFG Bank Ltd/Sydney,Name of Issuer/Counterparty,,Corporate,,,,,,688805.0,0.01,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,National Australia Bank Ltd,Name of Issuer/Counterparty,,Corporate,,,,,,13403659.0,0.16,,,,,,,nan,nan
