Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Equity,Externally,Macquarie Investment Management Global,1420729686.0,100.0,-,-,Unlisted,Rest,Overseas Shares Indexed,100.0
,,,,,,,,Rest,Overseas Shares Indexed,
The Value (Aud) And Weighting (%) Sub Totals May Not Sum Due To The Rounding Of Individual Disclosure Values And Weightings.,,,,,,,,Rest,Overseas Shares Indexed,
