Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,MACQUARIE GROUP LTD.,31887892.0,4.33,-,AUD,,Rest,Balanced Indexed,4.331365173421383
Fixed Income,Externally,MACQUARIE INVESTMENT MANAGEMENT AUSTRALIA LIMITED,129069934.0,17.53,-,-,,Rest,Balanced Indexed,17.531701909408014
Equity,Externally,Macquarie Investment Management Global,575250984.0,78.14,-,-,Unlisted,Rest,Balanced Indexed,78.13693291717061
,,,,,,,,Rest,Balanced Indexed,
The Value (Aud) And Weighting (%) Sub Totals May Not Sum Due To The Rounding Of Individual Disclosure Values And Weightings.,,,,,,,,Rest,Balanced Indexed,
